Gene,Genome,Gene_Count,Path,Activity,Trophic_level,Substrate,Product,Enzymatic_Activity,iso_index
GH2,Lactobacillus_ruminis_DSM_20403_NBRC_102161_strain_DSM_20403,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",69
GH2,Megamonas_sp_Calf98_2,2,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",74
GH2,Prevotella_albensis_DSM_11370_JCM_12258_strain_DSM_11370_K333,6,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",92
GH2,prevotella_bryantii,11,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",174
GH2,Propionibacterium_sp._MB3007_HUN140,3,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",88
GH2,Proteiniclasticum_ruminis_DSM_24773,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",87
GH2,Pseudobutyrivibrio_ruminis_AD2017,3,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",205
GH2,Pseudobutyrivibrio_sp_LB2011_T375,4,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",90
GH2,Ruminococcus_albus_7_DSM_20455,3,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",106
GH2,Ruminococcus_flavefaciens_B34b,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",103
GH2,Ruminococcus_gnavus_AGR2154_HUN022,10,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",101
GH2,Selenomonas_ruminantium_AC2024_P157,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Galactosidases, Beta-Glucuronidases, Beta-Mannosidases",129
GH31,Agathobacter_ruminis_DSMZ_29029,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Alpha-Glucosidases, Alpha-Xylosidases, Sucrose-6-Phosphate Hydrolases",8
GH31,Akkermansia_muciniphila_strain_DSM_22959,2,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Alpha-Glucosidases, Alpha-Xylosidases, Sucrose-6-Phosphate Hydrolases",10
